,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
0,"[0.0, 0.0, 21.0]",X,"[0.0, 0.0, 23.354801177978516]",0.15675237774848938,1.2,lamX
1,"[0.0, 0.0, 31.0]",X,"[0.0, 0.0, 31.2613468170166]",0.20423170924186707,1.2,lamX
2,"[0.0, 0.0, 33.0]",X,"[0.0, 0.0, 37.86587142944336]",0.09824392199516296,1.2,lamX
3,"[0.0, 0.0, 44.0]",X,"[35.585853576660156, 36.11430358886719, 58.19243240356445]",0.08469875156879425,1.2,cubY
4,"[0.0, 0.0, 45.0]",X,"[29.822479248046875, 33.29936981201172, 33.40390396118164]",0.08320064097642899,1.2,cubZ
5,"[0.0, 0.0, 47.0]",X,"[36.83595657348633, 37.003334045410156, 54.6899528503418]",0.10499536991119385,1.2,cubY
6,"[0.0, 0.0, 50.0]",X,"[31.14311981201172, 34.34330749511719, 53.08925247192383]",0.08480675518512726,1.2,cubY
7,"[0.0, 0.0, 52.0]",X,"[20.0, 29.741600036621094, 40.10723876953125]",0.04676075279712677,1.2,cubX
8,"[0.0, 0.0, 69.0]",X,"[32.920589447021484, 60.24720764160156, 61.27825164794922]",0.06007373332977295,1.2,cubX
9,"[0.0, 0.0, 70.0]",X,"[35.62832260131836, 39.54344940185547, 59.88397216796875]",0.049275901168584824,1.2,cubX
10,"[0.0, 21.0, 35.0]",X,"[20.0, 51.683563232421875, 54.77014923095703]",0.06961019337177277,1.2,cubX
11,"[0.0, 21.0, 46.0]",X,"[20.0, 53.76228713989258, 55.909297943115234]",0.08751397579908371,1.2,cubX
12,"[0.0, 21.0, 49.0]",X,"[20.0, 38.92546844482422, 54.807491302490234]",0.05315346643328667,1.2,cubX
13,"[0.0, 22.0, 40.0]",X,"[0.0, 20.0, 35.35218048095703]",0.08424194157123566,1.2,colX
14,"[0.0, 22.0, 64.0]",X,"[20.0, 43.58719253540039, 59.474609375]",0.07235787063837051,1.2,cubX
15,"[0.0, 23.0, 37.0]",X,"[20.0, 39.334251403808594, 40.50068664550781]",0.0670025497674942,1.2,cubX
16,"[0.0, 23.0, 67.0]",X,"[20.0, 42.76557922363281, 63.16714096069336]",0.08951368182897568,1.2,cubX
17,"[0.0, 24.0, 28.0]",X,"[0.0, 24.637962341308594, 30.607593536376953]",0.10306458175182343,1.2,colX
18,"[0.0, 25.0, 32.0]",X,"[0.0, 20.0, 31.3391056060791]",0.0684780478477478,1.2,colX
19,"[0.0, 25.0, 63.0]",X,"[0.0, 28.88705062866211, 40.611846923828125]",0.06823420524597168,1.2,colX
20,"[0.0, 28.0, 54.0]",X,"[20.0, 41.99223327636719, 62.649688720703125]",0.06420548260211945,1.2,cubX
21,"[0.0, 28.0, 56.0]",X,"[0.0, 44.8885612487793, 45.52580261230469]",0.06213949993252754,1.2,colX
22,"[0.0, 30.0, 67.0]",X,"[20.0, 51.29591751098633, 52.687355041503906]",0.08649750053882599,1.2,cubX
23,"[0.0, 32.0, 40.0]",X,"[20.0, 52.01955795288086, 52.152000427246094]",0.1382710039615631,1.2,cubX
24,"[0.0, 33.0, 54.0]",X,"[20.0, 46.372474670410156, 59.99486541748047]",0.06401781737804413,1.2,cubX
25,"[0.0, 34.0, 42.0]",X,"[0.0, 32.69104766845703, 39.288475036621094]",0.08923705667257309,1.2,colX
26,"[0.0, 35.0, 57.0]",X,"[20.0, 44.15180587768555, 62.17586135864258]",0.05526774004101753,1.2,cubX
27,"[0.0, 36.000003814697266, 52.0]",X,"[21.696306228637695, 57.45335388183594, 58.52629470825195]",0.07351032644510269,1.2,cubX
28,"[0.0, 37.0, 45.0]",X,"[20.0, 52.78425979614258, 53.467185974121094]",0.10096533596515656,1.2,cubX
29,"[0.0, 39.0, 62.0]",X,"[20.0, 56.55278015136719, 56.74842834472656]",0.08431140333414078,1.2,cubX
30,"[0.0, 41.0, 45.0]",X,"[20.0, 49.299476623535156, 54.41098403930664]",0.0660725086927414,1.2,cubX
31,"[0.0, 42.0, 58.0]",X,"[20.0, 42.3596305847168, 57.30964660644531]",0.08356170356273651,1.2,cubX
32,"[0.0, 43.0, 44.0]",X,"[20.0, 54.16852951049805, 55.198848724365234]",0.09091856330633163,1.2,cubX
33,"[0.0, 43.0, 70.0]",X,"[0.0, 30.65508270263672, 39.428245544433594]",0.07574477046728134,1.2,colX
34,"[0.0, 44.0, 49.0]",X,"[20.0, 54.620323181152344, 57.30668640136719]",0.07318838685750961,1.2,cubX
35,"[0.0, 47.0, 56.0]",X,"[20.0, 49.68568420410156, 54.610504150390625]",0.059162963181734085,1.2,cubX
36,"[0.0, 49.0, 50.0]",X,"[0.0, 42.86966323852539, 43.73960494995117]",0.06846673786640167,1.2,colX
37,"[0.0, 51.0, 59.0]",X,"[20.0, 44.90460205078125, 62.568572998046875]",0.06992460787296295,1.2,cubX
38,"[0.0, 52.0, 62.0]",X,"[20.0, 47.585575103759766, 56.70854949951172]",0.0661102682352066,1.2,cubX
39,"[0.0, 53.0, 58.0]",X,"[20.0, 46.679500579833984, 58.118343353271484]",0.06328737735748291,1.2,cubX
40,"[0.0, 53.0, 62.0]",X,"[20.0, 51.58586502075195, 51.614768981933594]",0.07474887371063232,1.2,cubX
41,"[0.0, 54.0, 61.0]",X,"[21.700532913208008, 53.279258728027344, 53.500064849853516]",0.07051168382167816,1.2,cubX
42,"[0.0, 57.0, 58.0]",X,"[20.0, 55.80665588378906, 56.504066467285156]",0.06468857824802399,1.2,cubX
43,"[0.0, 59.0, 61.0]",X,"[0.0, 45.034263610839844, 46.27396774291992]",0.06686656922101974,1.2,colX
44,"[0.0, 59.0, 70.0]",X,"[20.0, 44.27695083618164, 54.67109298706055]",0.07758861035108566,1.2,cubX
45,"[20.0, 23.0, 28.0]",X,"[51.2843132019043, 51.36664962768555, 53.72194290161133]",0.04641750082373619,1.2,cubY
46,"[20.0, 30.0, 46.0]",X,"[21.290245056152344, 54.36483383178711, 60.58224868774414]",0.055225007236003876,1.2,cubX
47,"[21.0, 28.0, 51.0]",X,"[20.0, 51.49908447265625, 51.66299819946289]",0.055562615394592285,1.2,cubX
48,"[21.0, 32.0, 65.0]",X,"[21.77785873413086, 58.64280700683594, 60.94839859008789]",0.0433121882379055,1.2,cubX
49,"[21.0, 36.000003814697266, 62.0]",X,"[22.990842819213867, 45.13175582885742, 58.55433654785156]",0.04604662209749222,1.2,cubX
50,"[21.0, 48.0, 65.0]",X,"[20.0, 49.897281646728516, 52.321388244628906]",0.09309129416942596,1.2,cubX
51,"[22.0, 25.0, 51.0]",X,"[20.0, 46.82801055908203, 57.11151123046875]",0.05884397774934769,1.2,cubX
52,"[22.0, 30.0, 34.0]",X,"[20.0, 43.09675979614258, 62.92066192626953]",0.059867918491363525,1.2,cubX
53,"[22.0, 30.0, 64.0]",X,"[20.0, 45.327423095703125, 58.55409240722656]",0.053270332515239716,1.2,cubX
54,"[22.0, 34.0, 63.0]",X,"[20.0, 50.842899322509766, 51.71986770629883]",0.05707342177629471,1.2,cubX
55,"[22.0, 37.0, 42.0]",X,"[33.772029876708984, 40.13382339477539, 57.03099822998047]",0.04637087509036064,1.2,cubX
56,"[22.0, 46.0, 59.0]",X,"[20.0, 51.65777587890625, 51.76506805419922]",0.08188331872224808,1.2,cubX
57,"[22.0, 50.0, 65.0]",X,"[20.0, 48.60310745239258, 54.06873321533203]",0.056675203144550323,1.2,cubX
58,"[23.0, 24.0, 28.0]",X,"[38.51798629760742, 48.49602508544922, 56.880653381347656]",0.03918742761015892,1.2,cubX
59,"[23.0, 24.0, 52.0]",X,"[0.0, 36.1102294921875, 67.10231018066406]",0.05580495670437813,1.2,colX
60,"[23.0, 27.0, 39.0]",X,"[21.038951873779297, 42.183448791503906, 61.14579772949219]",0.05982024222612381,1.2,cubX
61,"[23.0, 27.0, 44.0]",X,"[20.0, 51.58205795288086, 51.976104736328125]",0.05185810476541519,1.2,cubX
62,"[23.0, 34.0, 40.0]",X,"[20.0, 46.307613372802734, 58.925048828125]",0.05698723718523979,1.2,cubX
63,"[23.0, 41.0, 53.0]",X,"[20.0, 44.867061614990234, 58.78974151611328]",0.04157529026269913,1.2,cubX
64,"[23.0, 49.0, 64.0]",X,"[20.0, 25.641494750976562, 49.90556335449219]",0.10594133287668228,1.2,cubY
65,"[23.0, 59.0, 66.0]",X,"[20.0, 50.096923828125, 52.56867980957031]",0.049429021775722504,1.2,cubX
66,"[24.0, 25.0, 38.0]",X,"[21.59504508972168, 52.78466033935547, 52.8334846496582]",0.07595891505479813,1.2,cubX
67,"[24.0, 26.0, 65.0]",X,"[31.754304885864258, 60.16765213012695, 60.19942092895508]",0.06351234018802643,1.2,cubX
68,"[24.0, 30.0, 45.0]",X,"[21.470813751220703, 52.80329132080078, 58.86190414428711]",0.04451815038919449,1.2,cubX
69,"[25.0, 34.0, 52.0]",X,"[20.0, 24.97317886352539, 47.065799713134766]",0.05219041556119919,1.2,cubX
70,"[25.0, 54.0, 66.0]",X,"[20.0, 44.14736557006836, 55.89517593383789]",0.061422158032655716,1.2,cubX
71,"[26.0, 26.0, 55.0]",X,"[20.0, 49.9091796875, 52.726566314697266]",0.04944857209920883,1.2,cubX
72,"[26.0, 32.0, 58.0]",X,"[20.0, 26.407928466796875, 50.85317611694336]",0.09072872251272202,1.2,cubY
73,"[26.0, 36.000003814697266, 44.0]",X,"[21.889476776123047, 44.258522033691406, 60.234928131103516]",0.047757234424352646,1.2,cubX
74,"[26.0, 45.0, 47.0]",X,"[22.650251388549805, 47.11107635498047, 48.210689544677734]",0.2751942276954651,1.2,cubX
75,"[27.0, 48.0, 58.0]",X,"[20.0, 29.535995483398438, 49.72819900512695]",0.1279960572719574,1.2,cubY
76,"[28.0, 32.0, 64.0]",X,"[20.0, 20.0, 44.60128402709961]",0.10627154260873795,1.2,cubY
77,"[28.0, 34.0, 45.0]",X,"[20.0, 42.4235725402832, 50.971561431884766]",0.3967735469341278,1.2,cubY
78,"[28.0, 39.0, 61.0]",X,"[37.67144775390625, 63.776817321777344, 63.902591705322266]",0.04020474851131439,1.2,cubX
79,"[28.0, 40.0, 45.0]",X,"[30.768047332763672, 56.930355072021484, 58.253902435302734]",0.05203920602798462,1.2,cubX
80,"[28.0, 40.0, 49.0]",X,"[20.0, 43.46687316894531, 49.39773178100586]",0.08002720773220062,1.2,cubX
81,"[29.0, 31.0, 32.0]",X,"[31.462627410888672, 39.92800521850586, 57.21149826049805]",0.04326723888516426,1.2,cubX
82,"[29.0, 55.0, 60.0]",X,"[20.0, 48.75874710083008, 54.781700134277344]",0.04660521447658539,1.2,cubX
