,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
0,"[0.0, 0.0, 21.0]",Y,"[0.0, 0.0, 24.332536697387695]",0.07976656407117844,1.2,lamY
1,"[0.0, 0.0, 31.0]",Y,"[0.0, 20.0, 20.0]",0.17331847548484802,1.2,colZ
2,"[0.0, 0.0, 33.0]",Y,"[0.0, 0.0, 32.68898391723633]",0.17323081195354462,1.2,lamX
3,"[0.0, 0.0, 44.0]",Y,"[25.144834518432617, 49.56201171875, 50.25142288208008]",0.10872992128133774,1.2,cubX
4,"[0.0, 0.0, 45.0]",Y,"[25.724708557128906, 26.908884048461914, 48.64058303833008]",0.08296654373407364,1.2,cubY
5,"[0.0, 0.0, 47.0]",Y,"[20.0, 22.091163635253906, 29.133691787719727]",0.05802742391824722,1.2,cubY
6,"[0.0, 0.0, 50.0]",Y,"[20.0, 24.92934226989746, 45.69257736206055]",0.08293668925762177,1.2,cubY
7,"[0.0, 0.0, 52.0]",Y,"[24.855724334716797, 28.699193954467773, 43.040313720703125]",0.11404315382242203,1.2,cubX
8,"[0.0, 0.0, 69.0]",Y,"[32.614986419677734, 43.49610900878906, 50.76290512084961]",0.02846788987517357,1.2,cubX
9,"[0.0, 0.0, 70.0]",Y,"[20.0, 28.683549880981445, 56.606937408447266]",0.06054305285215378,1.2,cubY
10,"[0.0, 21.0, 35.0]",Y,"[20.0, 20.0, 25.45665740966797]",0.03766224533319473,1.2,cubX
11,"[0.0, 21.0, 46.0]",Y,"[44.99043273925781, 61.275840759277344, 62.87171173095703]",0.03796210139989853,1.2,cubX
12,"[0.0, 21.0, 49.0]",Y,"[20.0, 26.85030174255371, 31.49510955810547]",0.047379400581121445,1.2,cubZ
13,"[0.0, 22.0, 40.0]",Y,"[32.585365295410156, 42.96563720703125, 54.54566192626953]",0.042281828820705414,1.2,cubZ
14,"[0.0, 22.0, 64.0]",Y,"[20.0, 34.37932205200195, 52.888404846191406]",0.04724951833486557,1.2,cubX
15,"[0.0, 23.0, 37.0]",Y,"[0.0, 0.0, 49.625938415527344]",0.06428039819002151,1.2,lamX
16,"[0.0, 23.0, 67.0]",Y,"[59.20782470703125, 62.02495193481445, 65.99125671386719]",0.056437164545059204,1.2,cubY
