,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
0,"[0.0, 0.0, 21.0]",Z,"[0.0, 0.0, 28.75651741027832]",0.11658225953578949,1.2,lamZ
1,"[0.0, 0.0, 31.0]",Z,"[0.0, 0.0, 31.439054489135742]",0.15739741921424866,1.2,lamZ
2,"[0.0, 0.0, 33.0]",Z,"[0.0, 0.0, 36.79803466796875]",0.04579683020710945,1.2,lamZ
3,"[0.0, 0.0, 44.0]",Z,"[0.0, 22.984285354614258, 37.162506103515625]",0.06767121702432632,1.2,colZ
4,"[0.0, 0.0, 45.0]",Z,"[0.0, 0.0, 50.51522445678711]",0.042772091925144196,1.2,lamZ
5,"[0.0, 0.0, 47.0]",Z,"[0.0, 0.0, 49.73439025878906]",0.031592581421136856,1.2,lamZ
6,"[0.0, 0.0, 50.0]",Z,"[0.0, 0.0, 53.62904357910156]",0.0635274201631546,1.2,lamZ
7,"[0.0, 0.0, 52.0]",Z,"[0.0, 0.0, 56.71706771850586]",0.04304204136133194,1.2,lamZ
8,"[0.0, 0.0, 69.0]",Z,"[20.0, 60.60147476196289, 67.32737731933594]",0.04375011846423149,1.2,cubZ
9,"[0.0, 0.0, 70.0]",Z,"[26.533069610595703, 54.02594757080078, 65.43000793457031]",0.03781610727310181,1.2,cubY
10,"[0.0, 21.0, 35.0]",Z,"[24.94709587097168, 34.84724044799805, 63.153141021728516]",0.03500724956393242,1.2,cubZ
11,"[0.0, 21.0, 46.0]",Z,"[24.588733673095703, 56.17801284790039, 57.390403747558594]",0.05038531869649887,1.2,cubY
12,"[0.0, 21.0, 49.0]",Z,"[0.0, 20.0, 60.26234436035156]",0.04708921164274216,1.2,colZ
13,"[0.0, 22.0, 40.0]",Z,"[0.0, 22.49740219116211, 58.217796325683594]",0.03078804537653923,1.2,colZ
14,"[0.0, 22.0, 64.0]",Z,"[20.0, 38.25722122192383, 42.42966079711914]",0.05018971487879753,1.2,cubY
15,"[0.0, 23.0, 37.0]",Z,"[0.0, 20.666332244873047, 37.79056930541992]",0.0542110875248909,1.2,colZ
16,"[0.0, 23.0, 67.0]",Z,"[42.70608901977539, 50.582122802734375, 66.58467864990234]",0.04455363005399704,1.2,cubX
17,"[0.0, 24.0, 28.0]",Z,"[0.0, 38.2881965637207, 41.5106086730957]",0.03882244601845741,1.2,colZ
18,"[0.0, 25.0, 32.0]",Z,"[26.680986404418945, 41.01851272583008, 49.60628890991211]",0.035882651805877686,1.2,cubZ
19,"[0.0, 25.0, 63.0]",Z,"[20.0, 38.9632568359375, 40.27862548828125]",0.04747598245739937,1.2,cubY
20,"[0.0, 28.0, 54.0]",Z,"[20.0, 41.594093322753906, 54.61276626586914]",0.052729349583387375,1.2,cubZ
21,"[0.0, 28.0, 56.0]",Z,"[20.0, 38.452842712402344, 39.64235305786133]",0.034284986555576324,1.2,cubY
22,"[0.0, 30.0, 67.0]",Z,"[22.584474563598633, 56.77524948120117, 60.95221710205078]",0.03369312733411789,1.2,cubY
23,"[0.0, 32.0, 40.0]",Z,"[31.372591018676758, 55.11003494262695, 62.85671615600586]",0.03233453631401062,1.2,cubY
24,"[0.0, 33.0, 54.0]",Z,"[34.53602981567383, 56.05495834350586, 62.61186599731445]",0.062410853803157806,1.2,cubY
25,"[0.0, 34.0, 42.0]",Z,"[20.0, 41.45679473876953, 55.14519500732422]",0.0350983701646328,1.2,cubZ
26,"[0.0, 35.0, 57.0]",Z,"[20.0, 35.85207748413086, 37.81592559814453]",0.04803292825818062,1.2,cubY
27,"[0.0, 36.000003814697266, 52.0]",Z,"[48.748558044433594, 49.9307861328125, 55.30846405029297]",0.02713974379003048,1.2,cubX
28,"[0.0, 37.0, 45.0]",Z,"[20.0, 38.93864440917969, 42.108612060546875]",0.03614148497581482,1.2,cubY
29,"[0.0, 39.0, 62.0]",Z,"[23.76862144470215, 28.691469192504883, 30.799463272094727]",0.06589013338088989,1.2,cubY
30,"[0.0, 41.0, 45.0]",Z,"[24.626089096069336, 45.46438217163086, 55.11240005493164]",0.02835104428231716,1.2,cubZ
31,"[0.0, 42.0, 58.0]",Z,"[20.0, 35.73701095581055, 63.76112365722656]",0.04021809250116348,1.2,cubZ
32,"[0.0, 43.0, 44.0]",Z,"[49.74238586425781, 49.78521728515625, 58.55643844604492]",0.047377992421388626,1.2,cubX
33,"[0.0, 43.0, 70.0]",Z,"[23.76597023010254, 48.29751205444336, 50.51192855834961]",0.04993309825658798,1.2,cubY
34,"[0.0, 44.0, 49.0]",Z,"[33.21421432495117, 53.523048400878906, 55.01227569580078]",0.06271983683109283,1.2,cubY
35,"[0.0, 47.0, 56.0]",Z,"[20.0, 35.06600570678711, 38.87417221069336]",0.0656440258026123,1.2,cubY
36,"[0.0, 49.0, 50.0]",Z,"[39.029510498046875, 42.854766845703125, 53.293399810791016]",0.04410678893327713,1.2,cubY
37,"[0.0, 51.0, 59.0]",Z,"[20.0, 36.06638717651367, 39.063472747802734]",0.05373363569378853,1.2,cubY
38,"[0.0, 52.0, 62.0]",Z,"[21.499977111816406, 51.74217224121094, 52.959590911865234]",0.049836013466119766,1.2,cubY
39,"[0.0, 53.0, 58.0]",Z,"[22.64327621459961, 42.18672561645508, 52.00741958618164]",0.0424727126955986,1.2,cubX
40,"[0.0, 53.0, 62.0]",Z,"[30.46637725830078, 44.67779541015625, 59.87590789794922]",0.03713146597146988,1.2,cubX
41,"[0.0, 54.0, 61.0]",Z,"[23.060155868530273, 50.92519760131836, 59.15359115600586]",0.04239845648407936,1.2,cubY
42,"[0.0, 57.0, 58.0]",Z,"[22.948671340942383, 42.516937255859375, 53.231719970703125]",0.03745648264884949,1.2,cubX
43,"[0.0, 59.0, 61.0]",Z,"[23.714956283569336, 44.784812927246094, 56.380550384521484]",0.03113989531993866,1.2,cubY
44,"[0.0, 59.0, 70.0]",Z,"[38.8800048828125, 55.11248779296875, 57.278160095214844]",0.050955403596162796,1.2,cubY
45,"[20.0, 23.0, 28.0]",Z,"[39.09022903442383, 49.21375274658203, 50.91130828857422]",0.07464808225631714,1.2,cubY
46,"[20.0, 30.0, 46.0]",Z,"[31.178592681884766, 50.82360076904297, 59.32954406738281]",0.038213975727558136,1.2,cubY
47,"[21.0, 28.0, 51.0]",Z,"[39.0384407043457, 44.16508483886719, 59.547916412353516]",0.044333092868328094,1.2,cubX
48,"[21.0, 32.0, 65.0]",Z,"[53.263187408447266, 55.253273010253906, 58.98772430419922]",0.04677809402346611,1.2,cubX
49,"[21.0, 36.000003814697266, 62.0]",Z,"[20.0, 47.823421478271484, 47.97303009033203]",0.05089874193072319,1.2,cubZ
50,"[21.0, 48.0, 65.0]",Z,"[41.43492126464844, 44.14179229736328, 63.35662841796875]",0.03287026286125183,1.2,cubX
51,"[22.0, 25.0, 51.0]",Z,"[44.329925537109375, 50.608482360839844, 59.403968811035156]",0.0353192538022995,1.2,cubX
52,"[22.0, 30.0, 34.0]",Z,"[33.624290466308594, 43.09965133666992, 57.20390319824219]",0.031497854739427567,1.2,cubX
53,"[22.0, 30.0, 64.0]",Z,"[20.0, 44.90253448486328, 54.602638244628906]",0.04130721837282181,1.2,cubX
54,"[22.0, 34.0, 63.0]",Z,"[54.88336944580078, 54.904598236083984, 59.98616027832031]",0.031863681972026825,1.2,cubX
55,"[22.0, 37.0, 42.0]",Z,"[34.79884338378906, 45.001686096191406, 60.259857177734375]",0.0359354130923748,1.2,cubX
56,"[22.0, 46.0, 59.0]",Z,"[51.951324462890625, 53.534271240234375, 64.35486602783203]",0.06537531316280365,1.2,cubX
57,"[22.0, 50.0, 65.0]",Z,"[48.61347579956055, 52.500938415527344, 56.120574951171875]",0.03759336471557617,1.2,cubX
58,"[23.0, 24.0, 28.0]",Z,"[26.91533660888672, 38.318336486816406, 67.57093048095703]",0.056523941457271576,1.2,cubX
59,"[23.0, 24.0, 52.0]",Z,"[30.362836837768555, 51.13533401489258, 59.168678283691406]",0.04944116622209549,1.2,cubY
60,"[23.0, 27.0, 39.0]",Z,"[34.114505767822266, 43.65947341918945, 67.7641830444336]",0.036157991737127304,1.2,cubX
61,"[23.0, 27.0, 44.0]",Z,"[41.22408676147461, 45.6040153503418, 47.089778900146484]",0.036408212035894394,1.2,cubZ
62,"[23.0, 34.0, 40.0]",Z,"[25.702299118041992, 45.68486022949219, 60.06718063354492]",0.03675152733922005,1.2,cubZ
63,"[23.0, 41.0, 53.0]",Z,"[27.46291160583496, 47.44401931762695, 56.84978485107422]",0.044928066432476044,1.2,cubY
64,"[23.0, 49.0, 64.0]",Z,"[47.3766975402832, 48.593116760253906, 48.914615631103516]",0.03397874906659126,1.2,cubX
65,"[23.0, 59.0, 66.0]",Z,"[45.35859680175781, 47.094791412353516, 58.65301513671875]",0.041042353957891464,1.2,cubY
66,"[24.0, 25.0, 38.0]",Z,"[23.929737091064453, 46.962249755859375, 56.87284851074219]",0.05063372850418091,1.2,cubY
